,locationName,categories,locationAddress,locationCity,locationState,locationZip,locationPhone,openTime,Years In Business
88,Foreign & Domestic Auto Repairs,['Auto Repair & Service'],239 W Newton St,Boston,MA,02116,(857) 317-5309,,
89,Maverick Garage,['Auto Repair & Service'],265 Maverick St,East Boston,MA,02128,(617) 567-3765,,91
90,Priceless Automotive,['Auto Repair & Service'],9 Walker St,Charlestown,MA,02129,(617) 331-3367,,
91,Diversified Auto,['Auto Repair & Service'],33 Medford St,Charlestown,MA,02129,(617) 242-2872,,7
92,Auditorium Garage,['Auto Repair & Service'],50 Dalton St,Boston,MA,02115,(617) 247-8006,Open 24 Hours,
93,Auto Tech,['Auto Repair & Service'],320 Maverick St,East Boston,MA,02128,(617) 561-8500,9:00 am - 5:00 pm,22
94,Dave Auto Care,['Auto Repair & Service'],101 Porter St,Boston,MA,02128,(617) 569-3299,,
95,"New England Auto Delivery, Inc.",['Auto Repair & Service'],369 Dorchester Ave,South Boston,MA,02127,(617) 269-3800,8:00 am - 4:00 pm,17
96,Steve's Shop,"['Auto Repair & Service', 'Engine Rebuilding & Exchange', 'Auto Engine Rebuilding']",100 Terminal St,Charlestown,MA,02129,(617) 241-5335,6:00 am - 4:00 pm,15
97,Car Repair Shops,['Auto Repair & Service'],85 E Newton St,Boston,MA,02118,(857) 399-9836,,
98,Foreign & Domestic Auto Repairs,['Auto Repair & Service'],21 E Concord St,Boston,MA,02118,(857) 317-5310,,
99,Back & Forth Car Service,['Auto Repair & Service'],40 Saratoga St,East Boston,MA,02128,(617) 567-2000,,
100,Plutor.org,['Auto Repair & Service'],121 F St,South Boston,MA,02127,(617) 378-7998,,
101,Ell-Burn Automotive,['Auto Repair & Service'],785 Tremont St,Boston,MA,02118,(617) 247-3410,7:00 am - 6:00 pm,
102,South Boston Auto & Heavy Truck,"['Auto Repair & Service', 'Automobile Electric Service', 'New Car Dealers']",519 E 2nd St,South Boston,MA,02127,(617) 268-1861,7:00 am - 7:00 pm,29
103,New England Auto Delivery,['Auto Repair & Service'],28 Damrell St,South Boston,MA,02127,(617) 269-3801,,5
104,Elias Emmanoul Ides,['Auto Repair & Service'],480 Dorchester Ave,South Boston,MA,02127,(617) 464-3520,,
105,Andrew Square Garage Inc,['Auto Repair & Service'],480 Dorchester Ave,South Boston,MA,02127,(617) 269-0900,,17
106,Asa Road Service,"['Auto Repair & Service', 'Automotive Roadside Service']",24 Spice St Ste 2,Charlestown,MA,02129,(617) 398-6529,6:00 am - 12:00 am,6
107,Citywide Gas,"['Auto Repair & Service', 'Gas Stations', 'Convenience Stores']",150 Southampton St,Boston,MA,02118,(617) 427-3847,,
108,Mechanic Technician Auto,['Auto Repair & Service'],101 Condor St,East Boston,MA,02128,(617) 561-0111,,3
109,D & D Auto Import Svc,['Auto Repair & Service'],404 Bremen St,East Boston,MA,02128,(617) 561-5877,9:00 am - 5:00 pm,8
110,Automotive,['Auto Repair & Service'],2343 Washington St,Roxbury,MA,02119,(617) 858-1989,,
111,A 2 Z,['Auto Repair & Service'],24 Shetland St,Roxbury,MA,02119,(617) 427-3166,10:00 am - 6:00 pm,31
112,Gregs Service Center,"['Auto Repair & Service', 'Gas Stations', 'Truck Service & Repair']",51 Park St,Chelsea,MA,02150,(617) 889-4799,5:00 am - 9:00 pm,
113,The Shop,['Auto Repair & Service'],5 Blue Hill Ave,Roxbury,MA,02119,(617) 652-7068,,
114,Car Care,"['Auto Repair & Service', 'Car Wash', 'Automobile Detailing']",375 Longwood Ave,Boston,MA,02215,(617) 277-7400,7:00 am - 5:00 pm,124
115,Auto Repair Car Heating A C,['Auto Repair & Service'],1 Soldiers Field Park,Boston,MA,02163,(857) 529-5237,,
116,AAA Auto Tech,['Auto Repair & Service'],1271 Dorchester Ave,Boston,MA,02122,(617) 514-3544,8:00 am - 6:00 pm,5
117,Radiator Express Warehouse,"['Auto Repair & Service', 'Radiators Automotive Sales & Service']",31 Monsignor Obrien Hwy,Cambridge,MA,02141,(617) 661-0530,,
118,Zippity,['Auto Repair & Service'],1 Broadway,Cambridge,MA,02142,(978) 505-9062,,
119,Foreign & Domestic Auto Repairs,['Auto Repair & Service'],350 Main St,Cambridge,MA,02142,(617) 299-2477,,
120,Advance Hitch Installation,"['Auto Repair & Service', 'Brake Repair']",185 Broadway,Cambridge,MA,02139,(617) 864-8989,,
121,Repair Bent Garage Rollers,['Auto Repair & Service'],14 Mcgrath Hwy,Somerville,MA,02143,(617) 586-0894,,
122,Ilana Inc,['Auto Repair & Service'],30 Medford St,Somerville,MA,02143,(617) 576-1855,,
123,A & M Foreign Motors Inc,"['Auto Repair & Service', 'Automobile Inspection Stations & Services', 'Automobile Diagnostic Service']",181 McGrath Hwy,Somerville,MA,02143,(617) 776-1760,,
124,Brown Christine,['Auto Repair & Service'],259 Windsor St,Cambridge,MA,02139,(617) 876-2573,,
125,Als Automobile Service,['Auto Repair & Service'],277 Broadway,Cambridge,MA,02139,(800) 244-2571,,
126,Holman Automotive Co,['Auto Repair & Service'],259 Mcgrath Hwy,Somerville,MA,02143,(856) 778-3000,9:00 am - 5:00 pm,96
127,Carlos & Mario Auto Repair,['Auto Repair & Service'],306 Webster Ave,Cambridge,MA,02141,(617) 497-6722,,30
128,Car Zone Inc,"['Auto Repair & Service', 'Automobile Diagnostic Service', 'Auto Transmission']",486 Columbia St,Somerville,MA,02143,(617) 764-4586,7:30 am - 5:30 pm,20
129,Somerville Tow,"['Auto Repair & Service', 'Towing', 'Brake Repair']",495 Columbia St,Somerville,MA,02143,(617) 625-8697,8:00 am - 5:30 pm,
130,Real Auto Repair,"['Auto Repair & Service', 'Brake Repair', 'Auto Springs & Suspension']",45 Webster Ave,Somerville,MA,02143,(617) 440-5110,,
131,"Dm Auto Service, Inc.",['Auto Repair & Service'],45 Webster Ave,Somerville,MA,02143,(617) 440-5110,8:00 am - 6:00 pm,5
132,Souza Brothers Foreign Car Services,"['Auto Repair & Service', 'Towing', 'Brake Repair']",35 Prospect St,Somerville,MA,02143,(617) 628-9517,8:00 am - 6:00 pm,
133,Samos Auto Electric Service,"['Auto Repair & Service', 'Automobile Parts & Supplies', 'Automobile Accessories']",9 Decatur St,Cambridge,MA,02139,(617) 547-4024,9:00 am - 6:00 pm,46
134,Free Mobile Service Auto Glass,"['Auto Repair & Service', 'Windshield Repair', 'Plate & Window Glass Repair & Replacement']",288 Harvard St,Cambridge,MA,02139,(617) 299-2473,,5
135,Tata,['Auto Repair & Service'],101 Federal St Ste 2110,Boston,MA,02110,(617) 330-9400,,
136,Car Care Auto Service in Boston USA,['Auto Repair & Service'],32 Court St,Boston,MA,02108,(617) 539-6608,,16
137,Shahan's Auto Repair,"['Auto Repair & Service', 'Automobile Machine Shop']",BEACON St,Boston,MA,02115,(512) 293-4888,,33
138,European Car Doctors Inc,"['Auto Repair & Service', 'Brake Repair']",61 Brookline Ave,Boston,MA,02215,(617) 262-5525,8:00 am - 5:00 pm,33
139,Mike's Auto Repair,['Auto Repair & Service'],150 W Broadway,South Boston,MA,02127,(617) 269-6300,9:00 am - 5:00 pm,24
140,Boston Auto Glass,"['Auto Repair & Service', 'Windshield Repair']",15 Tremont St,Boston,MA,02108,(617) 861-3926,,1
141,Somerville Auto Center,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Towing']",193 Somerville Ave,Somerville,MA,02143,(617) 625-7400,8:00 am - 6:00 pm,19
142,A-1 Automatic Transmission Service,"['Auto Repair & Service', 'Auto Transmission', 'Auto Springs & Suspension']",914 Huntington Ave,Boston,MA,02115,(617) 738-0760,Open 24 Hours,22
143,Southie Auto Service,"['Auto Repair & Service', 'Automobile Body Repairing & Painting']",175 Old Colony Ave,South Boston,MA,02127,(617) 268-2772,9:00 am - 5:00 pm,25
144,C & L Auto,"['Auto Repair & Service', 'Automobile Repairing & Service-Equipment & Supplies', 'New Car Dealers']",931 Massachusetts Ave,Boston,MA,02118,(617) 445-8133,9:00 am - 5:00 pm,27
145,Garage Management Inc,['Auto Repair & Service'],150 Huntington Ave,Boston,MA,02115,(617) 247-0588,,
146,Crosstown Center Garage,['Auto Repair & Service'],7 Melnea Cass Blvd,Roxbury,MA,02119,(617) 638-8000,Open 24 Hours,13
147,Auto Repair Bh,"['Auto Repair & Service', 'Automobile Body Repairing & Painting']",13 Joy St,Somerville,MA,02143,(617) 666-0713,,24
148,body shop mobile,['Auto Repair & Service'],"boston,ma",Boston,MA,02128,(781) 349-8365,9:30 am - 11:45 pm,
149,Mahan James J Auto,"['Auto Repair & Service', 'Automotive Tune Up Service']",275 Old Colony Ave,South Boston,MA,02127,(617) 268-5740,9:00 am - 5:00 pm,
150,Fred M Susan Auto Body,"['Auto Repair & Service', 'Automobile Body Repairing & Painting']",269 Somerville Ave,Somerville,MA,02143,(617) 776-1570,9:00 am - 5:00 pm,82
151,J C Auto Repair,['Auto Repair & Service'],91 Prospect St,Somerville,MA,02143,(617) 776-4199,8:00 am - 5:00 pm,39
152,Logan Automotive Inc,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Automobile Parts, Supplies & Accessories-Wholesale & Manufacturers']",344 Bremen St,East Boston,MA,02128,(617) 569-3529,8:00 am - 5:00 pm,9
153,Pat's Tow,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Brake Repair']",161 Linwood St,Somerville,MA,02143,(617) 628-7500,9:00 am - 5:00 pm,60
154,Mike's Automotive Services,"['Auto Repair & Service', 'Auto Transmission', 'Automobile Parts & Supplies']",1 Union Sq,Somerville,MA,02143,(617) 623-1009,8:00 am - 5:30 pm,40
155,PC Auto Repair,"['Auto Repair & Service', 'Auto Transmission', 'Automotive Tune Up Service']",165 N Beacon St,Boston,MA,02135,(617) 787-0767,8:00 am - 6:00 pm,25
156,World Auto Body Inc,"['Auto Repair & Service', 'Car Wash', 'Automobile Body Repairing & Painting']",880 Commonwealth Ave Ste 5,Boston,MA,02215,(617) 739-5050,8:30 am - 5:00 pm,40
157,Pier Transmission,"['Auto Repair & Service', 'Auto Transmission', 'Wheel Alignment-Frame & Axle Servicing-Automotive']",409 Dorchester Ave,Boston,MA,02127,(617) 268-7409,7:00 am - 4:00 pm,
158,Ideal Collision Repair,"['Auto Repair & Service', 'Automobile Body Repairing & Painting']",404 Border St,East Boston,MA,02128,(617) 567-5900,9:00 am - 5:00 pm,27
159,Gino's Auto Body Co,"['Auto Repair & Service', 'Automobile Body Repairing & Painting']",282 Bremen St,East Boston,MA,02128,(617) 567-9510,9:00 am - 5:00 pm,36
160,Eagle Hill Cafe,"['Auto Repair & Service', 'Automobile Body Repairing & Painting']",255 Condor St,East Boston,MA,02128,(617) 567-5449,9:00 am - 5:00 pm,33
161,Mass Motor Service Inc,"['Auto Repair & Service', 'Towing', 'Automobile Body Repairing & Painting']",209 Boston St,Boston,MA,02125,(617) 436-4422,9:00 am - 5:00 pm,78
162,Desi's Auto Body Center,"['Auto Repair & Service', 'Automobile Body Repairing & Painting']",200 William F McClellan Hwy,Boston,MA,02128,(617) 569-4700,9:00 am - 5:00 pm,45
163,All-Rite Auto Body,"['Auto Repair & Service', 'Automobile Body Repairing & Painting']",38 Medford St,Somerville,MA,02143,(617) 868-8580,8:00 am - 5:00 pm,
164,Clm Auto Body Inc,"['Auto Repair & Service', 'Automobile Parts & Supplies', 'Automobile Body Repairing & Painting']",306 Webster Ave,Cambridge,MA,02141,(617) 497-6722,8:00 am - 6:00 pm,30
165,Barnes & Walsh,"['Auto Repair & Service', 'Automobile Body Repairing & Painting']",224 Somerville Ave,Somerville,MA,02143,(617) 625-6900,9:00 am - 5:00 pm,91
166,Webster Auto Body,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Towing']",69 Webster Ave,Somerville,MA,02143,(617) 666-8181,8:00 am - 5:30 pm,58
167,Franny's Auto Body,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Truck Service & Repair']",111 Prospect St,Somerville,MA,02143,(617) 623-9848,8:00 am - 5:00 pm,14
168,Joseph & Jean Auto Repair,"['Auto Repair & Service', 'Automobile Body Repairing & Painting']",47 Webster Ave,Somerville,MA,02143,(617) 629-4700,9:00 am - 5:00 pm,20
169,Inman Auto Body & Repair,"['Auto Repair & Service', 'Automobile Body Repairing & Painting']",45 Webster Ave,Somerville,MA,02143,(617) 440-1070,,
170,Deleo's Auto Body & Service Inc,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Automobile Detailing']",75 Hamilton St,Cambridge,MA,02139,(617) 876-1344,7:00 am - 5:00 pm,42
171,Tech Auto Body,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Automobile Parts, Supplies & Accessories-Wholesale & Manufacturers']",9 Union Sq,Somerville,MA,02143,(617) 628-0232,9:00 am - 5:00 pm,42
172,Kave Espresso Bar,['Automobile Body Repairing & Painting'],197 8th St,Charlestown,MA,02129,(617) 580-3121,,
173,Alex Auto Body Inc,['Automobile Body Repairing & Painting'],5 Crescent St Ste 1,Charlestown,MA,02129,(617) 776-2429,9:00 am - 5:00 pm,36
174,Fitzpatrick Bros Auto Body,['Automobile Body Repairing & Painting'],150 Centre St,Boston,MA,02124,(617) 825-1760,6:30 am - 3:30 pm,
